Latitude,Longitude,Datum,Horizontal Accuracy,State Code,County Code,Site Num,Parameter Code,POC,AQS Parameter Desc,Date Local,24 Hour Local,Date GMT,24 Hour GMT,Year GMT,Day In Year GMT,Sample Measurement,Units of Measure,Sample Duration,Sample Frequency,Detection Limit,Measurement Uncertainty,Qualifier Description,Method Type,Method Description
40.253611,-111.663056,WGS84,12.15,49,49,2,42101,1,Carbon monoxide,1/1/17,10:00,1/1/17,17:00,2017,1,0.4,Parts per million,1 HOUR,,0.5,,,Reference,INSTRUMENTAL-NONDISPERSIVE INFRARED
40.253611,-111.663056,WGS84,12.15,49,49,2,42101,1,Carbon monoxide,1/1/17,8:00,1/1/17,15:00,2017,1,0.4,Parts per million,1 HOUR,,0.5,,,Reference,INSTRUMENTAL-NONDISPERSIVE INFRARED
40.253611,-111.663056,WGS84,12.15,49,49,2,42101,1,Carbon monoxide,1/1/17,7:00,1/1/17,14:00,2017,1,0.4,Parts per million,1 HOUR,,0.5,,,Reference,INSTRUMENTAL-NONDISPERSIVE INFRARED
40.253611,-111.663056,WGS84,12.15,49,49,2,42101,1,Carbon monoxide,1/1/17,5:00,1/1/17,12:00,2017,1,0.4,Parts per million,1 HOUR,,0.5,,,Reference,INSTRUMENTAL-NONDISPERSIVE INFRARED
40.253611,-111.663056,WGS84,12.15,49,49,2,42101,1,Carbon monoxide,1/1/17,4:00,1/1/17,11:00,2017,1,0.5,Parts per million,1 HOUR,,0.5,,,Reference,INSTRUMENTAL-NONDISPERSIVE INFRARED
40.253611,-111.663056,WGS84,12.15,49,49,2,42101,1,Carbon monoxide,1/1/17,3:00,1/1/17,10:00,2017,1,0.5,Parts per million,1 HOUR,,0.5,,,Reference,INSTRUMENTAL-NONDISPERSIVE INFRARED
40.253611,-111.663056,WGS84,12.15,49,49,2,42101,1,Carbon monoxide,1/1/17,2:00,1/1/17,9:00,2017,1,0.5,Parts per million,1 HOUR,,0.5,,,Reference,INSTRUMENTAL-NONDISPERSIVE INFRARED
40.253611,-111.663056,WGS84,12.15,49,49,2,42101,1,Carbon monoxide,1/1/17,1:00,1/1/17,8:00,2017,1,0.5,Parts per million,1 HOUR,,0.5,,,Reference,INSTRUMENTAL-NONDISPERSIVE INFRARED
40.253611,-111.663056,WGS84,12.15,49,49,2,42101,1,Carbon monoxide,1/1/17,23:00,1/2/17,6:00,2017,2,0.1,Parts per million,1 HOUR,,0.5,,,Reference,INSTRUMENTAL-NONDISPERSIVE INFRARED
40.253611,-111.663056,WGS84,12.15,49,49,2,42101,1,Carbon monoxide,1/1/17,22:00,1/2/17,5:00,2017,2,0.4,Parts per million,1 HOUR,,0.5,,,Reference,INSTRUMENTAL-NONDISPERSIVE INFRARED
40.253611,-111.663056,WGS84,12.15,49,49,2,42101,1,Carbon monoxide,1/1/17,0:00,1/1/17,7:00,2017,1,0.5,Parts per million,1 HOUR,,0.5,,,Reference,INSTRUMENTAL-NONDISPERSIVE INFRARED
40.253611,-111.663056,WGS84,12.15,49,49,2,42101,1,Carbon monoxide,1/1/17,20:00,1/2/17,3:00,2017,2,0.4,Parts per million,1 HOUR,,0.5,,,Reference,INSTRUMENTAL-NONDISPERSIVE INFRARED
40.253611,-111.663056,WGS84,12.15,49,49,2,42101,1,Carbon monoxide,1/1/17,19:00,1/2/17,2:00,2017,2,0.6,Parts per million,1 HOUR,,0.5,,,Reference,INSTRUMENTAL-NONDISPERSIVE INFRARED
40.253611,-111.663056,WGS84,12.15,49,49,2,42101,1,Carbon monoxide,1/1/17,21:00,1/2/17,4:00,2017,2,0.4,Parts per million,1 HOUR,,0.5,,,Reference,INSTRUMENTAL-NONDISPERSIVE INFRARED
40.253611,-111.663056,WGS84,12.15,49,49,2,42101,1,Carbon monoxide,1/1/17,18:00,1/2/17,1:00,2017,2,0.6,Parts per million,1 HOUR,,0.5,,,Reference,INSTRUMENTAL-NONDISPERSIVE INFRARED
40.253611,-111.663056,WGS84,12.15,49,49,2,42101,1,Carbon monoxide,1/1/17,17:00,1/2/17,0:00,2017,2,0.7,Parts per million,1 HOUR,,0.5,,,Reference,INSTRUMENTAL-NONDISPERSIVE INFRARED
40.253611,-111.663056,WGS84,12.15,49,49,2,42101,1,Carbon monoxide,1/1/17,15:00,1/1/17,22:00,2017,1,0.3,Parts per million,1 HOUR,,0.5,,,Reference,INSTRUMENTAL-NONDISPERSIVE INFRARED
40.253611,-111.663056,WGS84,12.15,49,49,2,42101,1,Carbon monoxide,1/1/17,14:00,1/1/17,21:00,2017,1,0.3,Parts per million,1 HOUR,,0.5,,,Reference,INSTRUMENTAL-NONDISPERSIVE INFRARED
40.253611,-111.663056,WGS84,12.15,49,49,2,42101,1,Carbon monoxide,1/1/17,16:00,1/1/17,23:00,2017,1,0.4,Parts per million,1 HOUR,,0.5,,,Reference,INSTRUMENTAL-NONDISPERSIVE INFRARED
40.253611,-111.663056,WGS84,12.15,49,49,2,42101,1,Carbon monoxide,1/1/17,13:00,1/1/17,20:00,2017,1,0.4,Parts per million,1 HOUR,,0.5,,,Reference,INSTRUMENTAL-NONDISPERSIVE INFRARED
40.253611,-111.663056,WGS84,12.15,49,49,2,42101,1,Carbon monoxide,1/1/17,11:00,1/1/17,18:00,2017,1,0.4,Parts per million,1 HOUR,,0.5,,,Reference,INSTRUMENTAL-NONDISPERSIVE INFRARED
40.253611,-111.663056,WGS84,12.15,49,49,2,42101,1,Carbon monoxide,1/1/17,12:00,1/1/17,19:00,2017,1,0.4,Parts per million,1 HOUR,,0.5,,,Reference,INSTRUMENTAL-NONDISPERSIVE INFRARED
40.253611,-111.663056,WGS84,12.15,49,49,2,42101,1,Carbon monoxide,1/1/17,9:00,1/1/17,16:00,2017,1,0.5,Parts per million,1 HOUR,,0.5,,,Reference,INSTRUMENTAL-NONDISPERSIVE INFRARED
40.253611,-111.663056,WGS84,12.15,49,49,2,42101,1,Carbon monoxide,1/1/17,6:00,1/1/17,13:00,2017,1,0.4,Parts per million,1 HOUR,,0.5,,,Reference,INSTRUMENTAL-NONDISPERSIVE INFRARED
40.136336,-111.660502,WGS84,60.73,49,49,5010,44201,1,Ozone,1/1/17,10:00,1/1/17,17:00,2017,1,0.022,Parts per million,1 HOUR,,0.005,,,Equivalent,INSTRUMENTAL-ULTRA VIOLET ABSORPTION
40.253611,-111.663056,WGS84,12.15,49,49,2,44201,2,Ozone,1/1/17,10:00,1/1/17,17:00,2017,1,0.014,Parts per million,1 HOUR,,0.005,,,Equivalent,INSTRUMENTAL-ULTRA VIOLET ABSORPTION
40.136336,-111.660502,WGS84,60.73,49,49,5010,44201,1,Ozone,1/1/17,6:00,1/1/17,13:00,2017,1,0.013,Parts per million,1 HOUR,,0.005,,,Equivalent,INSTRUMENTAL-ULTRA VIOLET ABSORPTION
40.253611,-111.663056,WGS84,12.15,49,49,2,44201,2,Ozone,1/1/17,6:00,1/1/17,13:00,2017,1,0,Parts per million,1 HOUR,,0.005,,,Equivalent,INSTRUMENTAL-ULTRA VIOLET ABSORPTION
40.136336,-111.660502,WGS84,60.73,49,49,5010,44201,1,Ozone,1/1/17,7:00,1/1/17,14:00,2017,1,0.011,Parts per million,1 HOUR,,0.005,,,Equivalent,INSTRUMENTAL-ULTRA VIOLET ABSORPTION
40.253611,-111.663056,WGS84,12.15,49,49,2,44201,2,Ozone,1/1/17,7:00,1/1/17,14:00,2017,1,0.001,Parts per million,1 HOUR,,0.005,,,Equivalent,INSTRUMENTAL-ULTRA VIOLET ABSORPTION
40.136336,-111.660502,WGS84,60.73,49,49,5010,44201,1,Ozone,1/1/17,5:00,1/1/17,12:00,2017,1,0.011,Parts per million,1 HOUR,,0.005,,,Equivalent,INSTRUMENTAL-ULTRA VIOLET ABSORPTION
40.253611,-111.663056,WGS84,12.15,49,49,2,44201,2,Ozone,1/1/17,5:00,1/1/17,12:00,2017,1,0.001,Parts per million,1 HOUR,,0.005,,,Equivalent,INSTRUMENTAL-ULTRA VIOLET ABSORPTION
40.136336,-111.660502,WGS84,60.73,49,49,5010,44201,1,Ozone,1/1/17,4:00,1/1/17,11:00,2017,1,0.009,Parts per million,1 HOUR,,0.005,,,Equivalent,INSTRUMENTAL-ULTRA VIOLET ABSORPTION
40.253611,-111.663056,WGS84,12.15,49,49,2,44201,2,Ozone,1/1/17,4:00,1/1/17,11:00,2017,1,0,Parts per million,1 HOUR,,0.005,,,Equivalent,INSTRUMENTAL-ULTRA VIOLET ABSORPTION
40.136336,-111.660502,WGS84,60.73,49,49,5010,44201,1,Ozone,1/1/17,3:00,1/1/17,10:00,2017,1,0.008,Parts per million,1 HOUR,,0.005,,,Equivalent,INSTRUMENTAL-ULTRA VIOLET ABSORPTION
40.253611,-111.663056,WGS84,12.15,49,49,2,44201,2,Ozone,1/1/17,3:00,1/1/17,10:00,2017,1,0,Parts per million,1 HOUR,,0.005,,,Equivalent,INSTRUMENTAL-ULTRA VIOLET ABSORPTION
40.136336,-111.660502,WGS84,60.73,49,49,5010,44201,1,Ozone,1/1/17,2:00,1/1/17,9:00,2017,1,0.007,Parts per million,1 HOUR,,0.005,,,Equivalent,INSTRUMENTAL-ULTRA VIOLET ABSORPTION
40.253611,-111.663056,WGS84,12.15,49,49,2,44201,2,Ozone,1/1/17,2:00,1/1/17,9:00,2017,1,0,Parts per million,1 HOUR,,0.005,,,Equivalent,INSTRUMENTAL-ULTRA VIOLET ABSORPTION
40.136336,-111.660502,WGS84,60.73,49,49,5010,44201,1,Ozone,1/1/17,1:00,1/1/17,8:00,2017,1,0.007,Parts per million,1 HOUR,,0.005,,,Equivalent,INSTRUMENTAL-ULTRA VIOLET ABSORPTION
40.253611,-111.663056,WGS84,12.15,49,49,2,44201,2,Ozone,1/1/17,1:00,1/1/17,8:00,2017,1,0,Parts per million,1 HOUR,,0.005,,,Equivalent,INSTRUMENTAL-ULTRA VIOLET ABSORPTION
40.136336,-111.660502,WGS84,60.73,49,49,5010,44201,1,Ozone,1/1/17,23:00,1/2/17,6:00,2017,2,0.013,Parts per million,1 HOUR,,0.005,,,Equivalent,INSTRUMENTAL-ULTRA VIOLET ABSORPTION
40.253611,-111.663056,WGS84,12.15,49,49,2,44201,2,Ozone,1/1/17,23:00,1/2/17,6:00,2017,2,0.032,Parts per million,1 HOUR,,0.005,,,Equivalent,INSTRUMENTAL-ULTRA VIOLET ABSORPTION
40.136336,-111.660502,WGS84,60.73,49,49,5010,44201,1,Ozone,1/1/17,22:00,1/2/17,5:00,2017,2,0.003,Parts per million,1 HOUR,,0.005,,,Equivalent,INSTRUMENTAL-ULTRA VIOLET ABSORPTION
40.253611,-111.663056,WGS84,12.15,49,49,2,44201,2,Ozone,1/1/17,22:00,1/2/17,5:00,2017,2,0.008,Parts per million,1 HOUR,,0.005,,,Equivalent,INSTRUMENTAL-ULTRA VIOLET ABSORPTION
40.136336,-111.660502,WGS84,60.73,49,49,5010,44201,1,Ozone,1/1/17,0:00,1/1/17,7:00,2017,1,0.006,Parts per million,1 HOUR,,0.005,,,Equivalent,INSTRUMENTAL-ULTRA VIOLET ABSORPTION
40.253611,-111.663056,WGS84,12.15,49,49,2,44201,2,Ozone,1/1/17,0:00,1/1/17,7:00,2017,1,0,Parts per million,1 HOUR,,0.005,,,Equivalent,INSTRUMENTAL-ULTRA VIOLET ABSORPTION
40.136336,-111.660502,WGS84,60.73,49,49,5010,44201,1,Ozone,1/1/17,20:00,1/2/17,3:00,2017,2,0.002,Parts per million,1 HOUR,,0.005,,,Equivalent,INSTRUMENTAL-ULTRA VIOLET ABSORPTION
40.253611,-111.663056,WGS84,12.15,49,49,2,44201,2,Ozone,1/1/17,20:00,1/2/17,3:00,2017,2,0.001,Parts per million,1 HOUR,,0.005,,,Equivalent,INSTRUMENTAL-ULTRA VIOLET ABSORPTION
40.136336,-111.660502,WGS84,60.73,49,49,5010,44201,1,Ozone,1/1/17,19:00,1/2/17,2:00,2017,2,0.007,Parts per million,1 HOUR,,0.005,,,Equivalent,INSTRUMENTAL-ULTRA VIOLET ABSORPTION
40.253611,-111.663056,WGS84,12.15,49,49,2,44201,2,Ozone,1/1/17,19:00,1/2/17,2:00,2017,2,0,Parts per million,1 HOUR,,0.005,,,Equivalent,INSTRUMENTAL-ULTRA VIOLET ABSORPTION
40.136336,-111.660502,WGS84,60.73,49,49,5010,44201,1,Ozone,1/1/17,21:00,1/2/17,4:00,2017,2,0.007,Parts per million,1 HOUR,,0.005,,,Equivalent,INSTRUMENTAL-ULTRA VIOLET ABSORPTION
40.253611,-111.663056,WGS84,12.15,49,49,2,44201,2,Ozone,1/1/17,21:00,1/2/17,4:00,2017,2,0.002,Parts per million,1 HOUR,,0.005,,,Equivalent,INSTRUMENTAL-ULTRA VIOLET ABSORPTION
40.136336,-111.660502,WGS84,60.73,49,49,5010,44201,1,Ozone,1/1/17,18:00,1/2/17,1:00,2017,2,0.004,Parts per million,1 HOUR,,0.005,,,Equivalent,INSTRUMENTAL-ULTRA VIOLET ABSORPTION
40.253611,-111.663056,WGS84,12.15,49,49,2,44201,2,Ozone,1/1/17,18:00,1/2/17,1:00,2017,2,0.001,Parts per million,1 HOUR,,0.005,,,Equivalent,INSTRUMENTAL-ULTRA VIOLET ABSORPTION
40.136336,-111.660502,WGS84,60.73,49,49,5010,44201,1,Ozone,1/1/17,17:00,1/2/17,0:00,2017,2,0.011,Parts per million,1 HOUR,,0.005,,,Equivalent,INSTRUMENTAL-ULTRA VIOLET ABSORPTION
40.253611,-111.663056,WGS84,12.15,49,49,2,44201,2,Ozone,1/1/17,17:00,1/2/17,0:00,2017,2,0.001,Parts per million,1 HOUR,,0.005,,,Equivalent,INSTRUMENTAL-ULTRA VIOLET ABSORPTION
40.136336,-111.660502,WGS84,60.73,49,49,5010,44201,1,Ozone,1/1/17,15:00,1/1/17,22:00,2017,1,0.033,Parts per million,1 HOUR,,0.005,,,Equivalent,INSTRUMENTAL-ULTRA VIOLET ABSORPTION
40.253611,-111.663056,WGS84,12.15,49,49,2,44201,2,Ozone,1/1/17,15:00,1/1/17,22:00,2017,1,0.021,Parts per million,1 HOUR,,0.005,,,Equivalent,INSTRUMENTAL-ULTRA VIOLET ABSORPTION
40.136336,-111.660502,WGS84,60.73,49,49,5010,44201,1,Ozone,1/1/17,14:00,1/1/17,21:00,2017,1,0.03,Parts per million,1 HOUR,,0.005,,,Equivalent,INSTRUMENTAL-ULTRA VIOLET ABSORPTION
40.253611,-111.663056,WGS84,12.15,49,49,2,44201,2,Ozone,1/1/17,14:00,1/1/17,21:00,2017,1,0.023,Parts per million,1 HOUR,,0.005,,,Equivalent,INSTRUMENTAL-ULTRA VIOLET ABSORPTION
40.136336,-111.660502,WGS84,60.73,49,49,5010,44201,1,Ozone,1/1/17,16:00,1/1/17,23:00,2017,1,0.028,Parts per million,1 HOUR,,0.005,,,Equivalent,INSTRUMENTAL-ULTRA VIOLET ABSORPTION
40.253611,-111.663056,WGS84,12.15,49,49,2,44201,2,Ozone,1/1/17,16:00,1/1/17,23:00,2017,1,0.016,Parts per million,1 HOUR,,0.005,,,Equivalent,INSTRUMENTAL-ULTRA VIOLET ABSORPTION
40.136336,-111.660502,WGS84,60.73,49,49,5010,44201,1,Ozone,1/1/17,13:00,1/1/17,20:00,2017,1,0.028,Parts per million,1 HOUR,,0.005,,,Equivalent,INSTRUMENTAL-ULTRA VIOLET ABSORPTION
40.253611,-111.663056,WGS84,12.15,49,49,2,44201,2,Ozone,1/1/17,13:00,1/1/17,20:00,2017,1,0.022,Parts per million,1 HOUR,,0.005,,,Equivalent,INSTRUMENTAL-ULTRA VIOLET ABSORPTION
40.136336,-111.660502,WGS84,60.73,49,49,5010,44201,1,Ozone,1/1/17,11:00,1/1/17,18:00,2017,1,0.024,Parts per million,1 HOUR,,0.005,,,Equivalent,INSTRUMENTAL-ULTRA VIOLET ABSORPTION
40.253611,-111.663056,WGS84,12.15,49,49,2,44201,2,Ozone,1/1/17,11:00,1/1/17,18:00,2017,1,0.019,Parts per million,1 HOUR,,0.005,,,Equivalent,INSTRUMENTAL-ULTRA VIOLET ABSORPTION
40.136336,-111.660502,WGS84,60.73,49,49,5010,44201,1,Ozone,1/1/17,12:00,1/1/17,19:00,2017,1,0.027,Parts per million,1 HOUR,,0.005,,,Equivalent,INSTRUMENTAL-ULTRA VIOLET ABSORPTION
40.253611,-111.663056,WGS84,12.15,49,49,2,44201,2,Ozone,1/1/17,12:00,1/1/17,19:00,2017,1,0.021,Parts per million,1 HOUR,,0.005,,,Equivalent,INSTRUMENTAL-ULTRA VIOLET ABSORPTION
40.136336,-111.660502,WGS84,60.73,49,49,5010,44201,1,Ozone,1/1/17,9:00,1/1/17,16:00,2017,1,0.02,Parts per million,1 HOUR,,0.005,,,Equivalent,INSTRUMENTAL-ULTRA VIOLET ABSORPTION
40.253611,-111.663056,WGS84,12.15,49,49,2,44201,2,Ozone,1/1/17,9:00,1/1/17,16:00,2017,1,0.008,Parts per million,1 HOUR,,0.005,,,Equivalent,INSTRUMENTAL-ULTRA VIOLET ABSORPTION
40.136336,-111.660502,WGS84,60.73,49,49,5010,44201,1,Ozone,1/1/17,8:00,1/1/17,15:00,2017,1,0.015,Parts per million,1 HOUR,,0.005,,,Equivalent,INSTRUMENTAL-ULTRA VIOLET ABSORPTION
40.253611,-111.663056,WGS84,12.15,49,49,2,44201,2,Ozone,1/1/17,8:00,1/1/17,15:00,2017,1,0.006,Parts per million,1 HOUR,,0.005,,,Equivalent,INSTRUMENTAL-ULTRA VIOLET ABSORPTION
40.253611,-111.663056,WGS84,12.15,49,49,2,42602,1,Nitrogen dioxide (NO2),1/1/17,10:00,1/1/17,17:00,2017,1,29,Parts per billion,1 HOUR,,2.7,,,Reference,INSTRUMENTAL-GAS PHASE CHEMILUMINESCENCE
40.253611,-111.663056,WGS84,12.15,49,49,2,42602,1,Nitrogen dioxide (NO2),1/1/17,8:00,1/1/17,15:00,2017,1,35,Parts per billion,1 HOUR,,2.7,,,Reference,INSTRUMENTAL-GAS PHASE CHEMILUMINESCENCE
40.253611,-111.663056,WGS84,12.15,49,49,2,42602,1,Nitrogen dioxide (NO2),1/1/17,7:00,1/1/17,14:00,2017,1,40,Parts per billion,1 HOUR,,2.7,,,Reference,INSTRUMENTAL-GAS PHASE CHEMILUMINESCENCE
40.253611,-111.663056,WGS84,12.15,49,49,2,42602,1,Nitrogen dioxide (NO2),1/1/17,5:00,1/1/17,12:00,2017,1,40,Parts per billion,1 HOUR,,2.7,,,Reference,INSTRUMENTAL-GAS PHASE CHEMILUMINESCENCE
40.253611,-111.663056,WGS84,12.15,49,49,2,42602,1,Nitrogen dioxide (NO2),1/1/17,4:00,1/1/17,11:00,2017,1,44,Parts per billion,1 HOUR,,2.7,,,Reference,INSTRUMENTAL-GAS PHASE CHEMILUMINESCENCE
40.253611,-111.663056,WGS84,12.15,49,49,2,42602,1,Nitrogen dioxide (NO2),1/1/17,3:00,1/1/17,10:00,2017,1,46,Parts per billion,1 HOUR,,2.7,,,Reference,INSTRUMENTAL-GAS PHASE CHEMILUMINESCENCE
40.253611,-111.663056,WGS84,12.15,49,49,2,42602,1,Nitrogen dioxide (NO2),1/1/17,2:00,1/1/17,9:00,2017,1,46,Parts per billion,1 HOUR,,2.7,,,Reference,INSTRUMENTAL-GAS PHASE CHEMILUMINESCENCE
40.253611,-111.663056,WGS84,12.15,49,49,2,42602,1,Nitrogen dioxide (NO2),1/1/17,1:00,1/1/17,8:00,2017,1,46,Parts per billion,1 HOUR,,2.7,,,Reference,INSTRUMENTAL-GAS PHASE CHEMILUMINESCENCE
40.253611,-111.663056,WGS84,12.15,49,49,2,42602,1,Nitrogen dioxide (NO2),1/1/17,23:00,1/2/17,6:00,2017,2,12,Parts per billion,1 HOUR,,2.7,,,Reference,INSTRUMENTAL-GAS PHASE CHEMILUMINESCENCE
40.253611,-111.663056,WGS84,12.15,49,49,2,42602,1,Nitrogen dioxide (NO2),1/1/17,22:00,1/2/17,5:00,2017,2,35,Parts per billion,1 HOUR,,2.7,,,Reference,INSTRUMENTAL-GAS PHASE CHEMILUMINESCENCE
